image_id,attack_type,original_pred,perturbed_pred,success
adv_centroid_pitbull_f00f22ec4c 2.png,centroid,0,0,False
adv_noise_pitbull_f00f22ec4c 2.png,noise,0,0,False
adv_boundary_pitbull_f00f22ec4c 2.png,boundary,0,1,True
adv_rotation_pitbull_f00f22ec4c 2.png,rotation,0,0,False
adv_patch_pitbull_f00f22ec4c 2.png,patch,0,0,False
adv_color_pitbull_f00f22ec4c 2.png,color,0,0,False
adv_combined_pitbull_f00f22ec4c 2.png,combined,0,0,False
adv_centroid_irminsul_c09ee27cda.png,centroid,0,0,False
adv_noise_irminsul_c09ee27cda.png,noise,0,0,False
adv_boundary_irminsul_c09ee27cda.png,boundary,0,1,True
adv_rotation_irminsul_c09ee27cda.png,rotation,0,0,False
adv_patch_irminsul_c09ee27cda.png,patch,0,0,False
adv_color_irminsul_c09ee27cda.png,color,0,0,False
adv_combined_irminsul_c09ee27cda.png,combined,0,0,False
adv_centroid_lorraine_a8a8c14bac 3.png,centroid,0,0,False
adv_noise_lorraine_a8a8c14bac 3.png,noise,0,0,False
adv_boundary_lorraine_a8a8c14bac 3.png,boundary,0,1,True
adv_rotation_lorraine_a8a8c14bac 3.png,rotation,0,0,False
adv_patch_lorraine_a8a8c14bac 3.png,patch,0,0,False
adv_color_lorraine_a8a8c14bac 3.png,color,0,0,False
adv_combined_lorraine_a8a8c14bac 3.png,combined,0,0,False
adv_centroid_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,centroid,1,1,False
adv_noise_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,noise,1,1,False
adv_boundary_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,boundary,1,0,True
adv_rotation_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,rotation,1,1,False
adv_patch_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,patch,1,1,False
adv_color_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,color,1,1,False
adv_combined_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94.png,combined,1,1,False
adv_centroid_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg.png,centroid,0,0,False
adv_noise_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg.png,noise,0,0,False
adv_boundary_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg.png,boundary,0,1,True
adv_rotation_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg.png,rotation,0,0,False
adv_patch_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg.png,patch,0,0,False
